Periodo;Mes;Inflacion
1;01/01/2019;0,6
2;01/02/2019;0,57
3;01/03/2019;0,43
4;01/04/2019;0,5
5;01/05/2019;0,31
6;01/06/2019;0,27
7;01/07/2019;0,22
8;01/08/2019;0,09
9;01/09/2019;0,23
10;01/10/2019;0,16
11;01/11/2019;0,1
12;01/12/2019;0,26
13;01/01/2020;0,42
14;01/02/2020;0,67
15;01/03/2020;0,57
16;01/04/2020;0,16
17;01/05/2020;-0,32
18;01/06/2020;-0,38
19;01/07/2020;0
20;01/08/2020;-0,01
21;01/09/2020;0,32
22;01/10/2020;-0,06
23;01/11/2020;-0,15
24;01/12/2020;0,38
25;01/01/2021;0,41
26;01/02/2021;0,64
27;01/03/2021;0,51
28;01/04/2021;0,59
29;01/05/2021;1
30;01/06/2021;-0,05
31;01/07/2021;0,32
32;01/08/2021;0,45
33;01/09/2021;0,38
34;01/10/2021;0,01
35;01/11/2021;0,5
36;01/12/2021;0,73
37;01/01/2022;1,67
38;01/02/2022;1,63
39;01/03/2022;1
40;01/04/2022;1,25
41;01/05/2022;0,84
42;01/06/2022;0,51
43;01/07/2022;0,81
44;01/08/2022;1,02
45;01/09/2022;0,93
46;01/10/2022;0,72
47;01/11/2022;0,77
48;01/12/2022;1,26
49;01/01/2023;1,78
50;01/02/2023;1,66
51;01/03/2023;1,05
52;01/04/2023;0,78
53;01/05/2023;0,43
54;01/06/2023;0,3
55;01/07/2023;0,5
56;01/08/2023;0,7
57;01/09/2023;0,54
58;01/10/2023;0,25
59;01/11/2023;0,47
60;01/12/2023;0,45
61;01/01/2024;0,92
62;01/02/2024;1,09
63;01/03/2024;0,7
64;01/04/2024;0,59
