"","distancia_centro_comercial","distancia_escuela","distancia_universidad","distancia_cesped","distancia_bosques","distancia_parque","distancia_cine","distancia_discoteca","distancia_transporte","geometry"
"1",774,614,189,30294,6461,7419,84,17,1133,c(-74.1386635, 4.5866198)
"2",511,1568,436,21982,8037,6132,12,86,293,c(-74.1421539541, 4.6781471169)
"3",569,2581,73,60164,8432,9823,31,50,2018,c(-74.0515526, 4.756503)
"4",626,3146,1151,12792,4887,976,44,55,401,c(-74.057, 4.703)
"5",95,395,439,506,6589,1351,12,98,454,c(-74.1258594, 4.6618816)
"6",1292,509,1301,29849,4240,17380,84,92,1090,c(-74.1111516953, 4.5999955123)
"7",529,3421,1219,6965,1151,17788,79,69,1942,c(-74.04, 4.725)
"8",1795,3344,1152,13801,4880,1492,14,54,66,c(-74.0422063076, 4.6920767866)
"9",485,527,932,6464,8409,10989,31,50,2027,c(-74.037225, 4.7508783)
"10",439,1056,167,15697,4851,8687,32,69,134,c(-74.0268117, 4.7180906)
"11",1060,3438,1152,13790,4880,720,44,54,66,c(-74.045855999, 4.6932006916)
"12",175,2710,749,6369,3527,6022,14,54,129,c(-74.0367047, 4.6858972)
"13",175,2710,749,6369,3527,6022,14,54,129,c(-74.0367047, 4.6858972)
"14",529,3421,1219,6965,4755,17788,79,69,1942,c(-74.041, 4.725)
"15",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"16",479,588,1051,68235,5429,18645,42,67,229,c(-74.066, 4.729)
"17",1690,522,1237,49694,4736,31010,44,53,1914,c(-74.041, 4.708)
"18",625,3344,1152,13578,4880,5583,44,53,1900,c(-74.047, 4.699)
"19",489,6991,1241,14104,3568,1859,44,53,68,c(-74.031, 4.705)
"20",2512,6991,156,15550,1047,3317,44,53,68,c(-74.033550024, 4.7014769187)
"21",891,2710,156,57795,3437,32427,14,54,129,c(-74.033, 4.691)
"22",891,2710,156,57795,3437,32427,14,54,129,c(-74.033, 4.691)
"23",174,2980,156,6673,3405,3359,14,54,67,c(-74.035, 4.692)
"24",424,415,166,45951,4755,31565,32,69,134,c(-74.0375044, 4.7188688)
"25",284,551,2211,15648,1041,1067,32,53,68,c(-74.026, 4.711)
"26",1771,5384,1396,43791,1150,15487,79,69,1967,c(-74.031, 4.731)
"27",430,5385,192,15719,4851,12517,32,69,134,c(-74.028, 4.72)
"28",441,2162,166,46131,4826,5156,32,69,134,c(-74.034, 4.718)
"29",441,2162,166,46131,4826,5156,32,69,134,c(-74.034, 4.718)
"30",1795,2645,1632,13763,3515,5720,14,54,66,c(-74.042, 4.689)
"31",2554,1002,1920,43735,6679,4188,47,106,2348,c(-74.1013618, 4.6756577)
"32",478,588,1051,17809,5426,2729,42,67,2713,c(-74.066, 4.727)
"33",461,3000,1151,60859,6362,1919,16,56,1901,c(-74.059, 4.699)
"34",1279,3665,732,50491,4338,9605,84,92,1090,c(-74.11, 4.605)
"35",560,1739,157,17492,8177,1986,16,64,1263,c(-74.06, 4.681)
"36",1279,3665,160,50491,4337,9603,84,92,1090,c(-74.1098796, 4.6041298)
"37",68,3344,156,13830,4880,967,44,53,68,c(-74.0415644646, 4.6999157774)
"38",626,3146,1151,7099,4881,8538,44,55,1900,c(-74.052434, 4.700259)
"39",557,1017,157,57655,6345,32138,16,56,2613,c(-74.064, 4.688)
"40",557,3459,157,57653,6344,7289,16,56,2297,c(-74.0619294, 4.6905083)
"41",2246,6991,1055,1222,3561,3298,14,53,68,c(-74.03, 4.701)
"42",2355,7342,2209,14082,1047,3313,44,53,68,c(-74.0355679881, 4.702466588)
"43",441,2162,166,46131,4826,1169,32,69,134,c(-74.0344190598, 4.7169598289)
"44",626,3146,1151,12792,4887,976,44,55,401,c(-74.0564322, 4.7037234)
"45",733,4638,1411,25019,4327,19957,26,57,2619,c(-74.074, 4.623)
"46",441,2162,166,15520,4852,1169,32,69,134,c(-74.034, 4.716)
"47",626,3146,1145,13544,4881,972,44,55,400,c(-74.051, 4.702)
"48",636,6831,1145,27540,4734,5060,44,53,1914,c(-74.049, 4.709)
"49",1795,2645,1632,13763,3515,5720,14,54,66,c(-74.042, 4.689)
"50",486,3344,156,2640,1047,969,44,53,68,c(-74.04, 4.699)
"51",626,3438,1150,13623,4879,9350,16,56,1861,c(-74.053, 4.692)
"52",557,3459,157,57653,6344,7289,16,56,2297,c(-74.0619294, 4.6905083)
