"","Robos_vivienda","Robos_personas"
"1",42,524
"2",105,1440
"3",233,2337
"4",233,2337
"5",105,1440
"6",101,1202
"7",156,1609
"8",156,1609
"9",156,1609
"10",156,1609
"11",156,1609
"12",156,1609
"13",156,1609
"14",156,1609
"15",156,1609
"16",233,2337
"17",156,1609
"18",156,1609
"19",156,1609
"20",156,1609
"21",156,1609
"22",156,1609
"23",156,1609
"24",156,1609
"25",156,1609
"26",156,1609
"27",156,1609
"28",156,1609
"29",156,1609
"30",156,1609
"31",239,2612
"32",233,2337
"33",233,2337
"34",101,1202
"35",53,926
"36",101,1202
"37",156,1609
"38",156,1609
"39",53,926
"40",233,2337
"41",156,1609
"42",156,1609
"43",156,1609
"44",233,2337
"45",88,1055
"46",156,1609
"47",156,1609
"48",156,1609
"49",156,1609
"50",156,1609
"51",156,1609
"52",233,2337
"53",156,1609
"54",156,1609
"55",156,1609
"56",156,1609
"57",156,1609
"58",156,1609
"59",156,1609
"60",156,1609
"61",88,1055
"62",156,1609
"63",239,2612
"64",105,1440
"65",156,1609
"66",88,1055
"67",156,1609
"68",156,1609
"69",156,1609
"70",105,1440
"71",21,1094
"72",105,1440
"73",273,2652
"74",233,2337
"75",239,2612
"76",156,1609
"77",156,1609
"78",156,1609
"79",156,1609
"80",156,1609
"81",156,1609
"82",156,1609
"83",156,1609
"84",156,1609
"85",156,1609
"86",101,1202
"87",8,201
"88",156,1609
"89",53,926
"90",88,1055
"91",21,1094
"92",233,2337
"93",156,1609
"94",21,1094
"95",156,1609
"96",88,1055
"97",101,1202
"98",156,1609
"99",156,1609
"100",156,1609
"101",156,1609
"102",156,1609
"103",156,1609
"104",156,1609
"105",156,1609
"106",156,1609
"107",156,1609
"108",156,1609
"109",156,1609
"110",156,1609
"111",156,1609
"112",156,1609
"113",156,1609
"114",156,1609
"115",156,1609
"116",156,1609
"117",156,1609
"118",156,1609
"119",156,1609
"120",156,1609
"121",156,1609
"122",156,1609
"123",156,1609
"124",156,1609
"125",156,1609
"126",156,1609
"127",156,1609
"128",156,1609
"129",156,1609
"130",156,1609
"131",156,1609
"132",156,1609
"133",156,1609
"134",156,1609
"135",156,1609
"136",156,1609
"137",156,1609
"138",156,1609
"139",156,1609
"140",156,1609
"141",156,1609
"142",156,1609
"143",156,1609
"144",156,1609
"145",156,1609
"146",156,1609
"147",156,1609
"148",156,1609
"149",156,1609
"150",156,1609
"151",156,1609
"152",156,1609
"153",156,1609
"154",156,1609
"155",156,1609
"156",156,1609
"157",156,1609
"158",156,1609
"159",156,1609
"160",156,1609
"161",156,1609
"162",156,1609
"163",156,1609
"164",156,1609
"165",53,926
"166",88,1055
"167",53,926
"168",88,1055
"169",105,1440
"170",105,1440
"171",105,1440
"172",105,1440
"173",239,2612
"174",239,2612
"175",233,2337
"176",233,2337
"177",233,2337
"178",233,2337
"179",233,2337
"180",233,2337
"181",233,2337
"182",233,2337
"183",273,2652
"184",273,2652
"185",156,1609
"186",156,1609
"187",156,1609
"188",156,1609
"189",156,1609
"190",156,1609
"191",156,1609
"192",156,1609
"193",156,1609
"194",156,1609
"195",156,1609
"196",156,1609
"197",101,1202
"198",88,1055
"199",105,1440
"200",233,2337
"201",233,2337
"202",233,2337
"203",233,2337
"204",233,2337
"205",233,2337
"206",273,2652
"207",156,1609
"208",156,1609
"209",156,1609
"210",156,1609
"211",156,1609
"212",156,1609
"213",156,1609
"214",156,1609
"215",156,1609
"216",156,1609
"217",156,1609
"218",156,1609
"219",156,1609
"220",156,1609
"221",8,201
"222",57,985
"223",105,1440
"224",239,2612
"225",233,2337
"226",233,2337
"227",233,2337
"228",233,2337
"229",233,2337
"230",273,2652
"231",156,1609
"232",156,1609
"233",156,1609
"234",156,1609
"235",156,1609
"236",21,1094
"237",101,1202
"238",88,1055
"239",88,1055
"240",88,1055
"241",88,1055
"242",88,1055
"243",53,926
"244",53,926
"245",88,1055
"246",88,1055
"247",53,926
"248",239,2612
"249",239,2612
"250",233,2337
"251",233,2337
"252",233,2337
"253",233,2337
"254",92,875
"255",101,1202
"256",92,875
"257",156,1609
"258",156,1609
"259",156,1609
"260",156,1609
"261",156,1609
"262",156,1609
"263",156,1609
"264",156,1609
"265",156,1609
"266",156,1609
"267",156,1609
"268",156,1609
"269",156,1609
"270",156,1609
"271",156,1609
"272",156,1609
"273",233,2337
"274",156,1609
"275",156,1609
"276",156,1609
"277",156,1609
"278",156,1609
"279",156,1609
"280",156,1609
"281",156,1609
"282",156,1609
"283",156,1609
"284",156,1609
"285",156,1609
"286",156,1609
"287",156,1609
"288",53,926
"289",88,1055
"290",53,926
"291",88,1055
"292",53,926
"293",64,1433
"294",53,926
"295",88,1055
"296",88,1055
"297",105,1440
"298",105,1440
"299",239,2612
"300",105,1440
"301",105,1440
"302",239,2612
"303",233,2337
"304",233,2337
"305",233,2337
"306",233,2337
"307",233,2337
"308",233,2337
"309",233,2337
"310",233,2337
"311",239,2612
"312",233,2337
"313",233,2337
"314",233,2337
"315",233,2337
"316",233,2337
"317",233,2337
"318",233,2337
"319",233,2337
"320",273,2652
"321",273,2652
"322",273,2652
"323",273,2652
"324",239,2612
"325",239,2612
"326",239,2612
"327",239,2612
"328",239,2612
"329",156,1609
"330",156,1609
"331",156,1609
"332",156,1609
"333",156,1609
"334",156,1609
"335",156,1609
"336",156,1609
"337",156,1609
"338",156,1609
"339",156,1609
"340",156,1609
"341",156,1609
"342",156,1609
"343",156,1609
"344",156,1609
"345",156,1609
"346",156,1609
"347",156,1609
